Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 892,West Indies,England,England,5 wickets,Port of Spain,06-Mar-94
ODI # 893,New Zealand,Pakistan,Pakistan,11 runs,Wellington,09-Mar-94
ODI # 894,New Zealand,Pakistan,tied,,Auckland,13-Mar-94
ODI # 895,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,16-Mar-94
ODI # 896,New Zealand,India,New Zealand,28 runs,Napier,25-Mar-94
ODI # 897,New Zealand,India,India,7 wickets,Auckland,27-Mar-94
ODI # 898,New Zealand,India,India,12 runs,Wellington,30-Mar-94
ODI # 899,New Zealand,India,New Zealand,6 wickets,Christchurch,02-Apr-94
ODI # 900,South Africa,Australia,Australia,7 wickets,East London,02-Apr-94
ODI # 901,South Africa,Australia,South Africa,26 runs,Port Elizabeth,04-Apr-94
ODI # 902,South Africa,Australia,Australia,36 runs,Cape Town,06-Apr-94
ODI # 903,South Africa,Australia,Australia,1 run,Bloemfontein,08-Apr-94
ODI # 904,U.A.E.,India,India,71 runs,Sharjah,13-Apr-94
ODI # 905,Australia,Sri Lanka,Australia,9 wickets,Sharjah,14-Apr-94
ODI # 906,India,Pakistan,Pakistan,6 wickets,Sharjah,15-Apr-94
ODI # 907,Australia,New Zealand,Australia,7 wickets,Sharjah,16-Apr-94
ODI # 908,U.A.E.,Pakistan,Pakistan,9 wickets,Sharjah,17-Apr-94
ODI # 909,New Zealand,Sri Lanka,New Zealand,2 runs,Sharjah,18-Apr-94
ODI # 910,Australia,India,India,7 wickets,Sharjah,19-Apr-94
ODI # 911,New Zealand,Pakistan,Pakistan,62 runs,Sharjah,20-Apr-94
ODI # 912,India,Pakistan,Pakistan,39 runs,Sharjah,22-Apr-94
ODI # 913,England,New Zealand,England,42 runs,Birmingham,19-May-94
ODI # 914,Sri Lanka,Pakistan,Pakistan,9 wickets,Colombo (RPS),03-Aug-94
ODI # 915,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),06-Aug-94
ODI # 916,Sri Lanka,Pakistan,Pakistan,19 runs,Colombo (SSC),07-Aug-94
ODI # 917,Sri Lanka,Pakistan,Pakistan,5 wickets,Colombo (SSC),22-Aug-94
ODI # 918,Sri Lanka,Pakistan,Pakistan,27 runs,Colombo (RPS),24-Aug-94
ODI # 919,England,South Africa,England,6 wickets,Birmingham,25-Aug-94
ODI # 920,England,South Africa,England,4 wickets,Manchester,"Aug 27-28, 1994"
ODI # 921,Sri Lanka,India,no result,,Colombo (RPS),04-Sep-94
ODI # 922,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),05-Sep-94
ODI # 923,Australia,Pakistan,Australia,28 runs,Colombo (SSC),07-Sep-94
ODI # 924,Australia,India,India,31 runs,Colombo (RPS),09-Sep-94
ODI # 925,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (SSC),11-Sep-94
ODI # 926,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (PSS),13-Sep-94
ODI # 927,Sri Lanka,India,India,6 wickets,Colombo (SSC),17-Sep-94
ODI # 928,Australia,South Africa,Australia,6 runs,Lahore,12-Oct-94
ODI # 929,Pakistan,Australia,Australia,7 wickets,Multan,14-Oct-94
ODI # 930,Pakistan,South Africa,Pakistan,8 wickets,Karachi,16-Oct-94
ODI # 931,India,West Indies,West Indies,96 runs,Faridabad,17-Oct-94
ODI # 932,Australia,South Africa,Australia,22 runs,Faisalabad,18-Oct-94
ODI # 933,India,West Indies,India,8 runs,Mumbai,20-Oct-94
ODI # 934,Pakistan,South Africa,Pakistan,39 runs,Rawalpindi,20-Oct-94
ODI # 935,Pakistan,Australia,Pakistan,9 wickets,Rawalpindi,22-Oct-94
ODI # 936,India,West Indies,India,4 wickets,Chennai,23-Oct-94
ODI # 937,Australia,South Africa,Australia,3 wickets,Peshawar,24-Oct-94
ODI # 938,New Zealand,West Indies,no result,,Margao,26-Oct-94
ODI # 939,India,New Zealand,India,7 wickets,Vadodara,28-Oct-94
ODI # 940,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,28-Oct-94
ODI # 941,India,West Indies,West Indies,46 runs,Kanpur,30-Oct-94
ODI # 942,Pakistan,Australia,Australia,64 runs,Lahore,30-Oct-94
ODI # 943,New Zealand,West Indies,West Indies,135 runs,Guwahati,01-Nov-94
ODI # 944,India,New Zealand,India,107 runs,Delhi,03-Nov-94
ODI # 945,Zimbabwe,Sri Lanka,Sri Lanka,56 runs,Harare,03-Nov-94
ODI # 946,Zimbabwe,Sri Lanka,Zimbabwe,2 runs,Harare,05-Nov-94
ODI # 947,India,West Indies,India,72 runs,Kolkata,05-Nov-94
ODI # 948,Zimbabwe,Sri Lanka,Sri Lanka,191 runs,Harare,06-Nov-94
ODI # 949,India,West Indies,India,4 runs,Visakhapatnam,07-Nov-94
ODI # 950,India,West Indies,India,8 wickets,Cuttack,09-Nov-94
ODI # 951,India,West Indies,India,5 runs,Jaipur,11-Nov-94
ODI # 952,Australia,Zimbabwe,Australia,2 wickets,Perth,02-Dec-94
ODI # 953,Pakistan,Sri Lanka,Pakistan,6 wickets,Durban,02-Dec-94
ODI # 954,Pakistan,Sri Lanka,Pakistan,12 runs,Centurion,04-Dec-94
ODI # 955,Australia,England,Australia,28 runs,Sydney,06-Dec-94
ODI # 956,South Africa,New Zealand,South Africa,69 runs,Cape Town,06-Dec-94
ODI # 957,Australia,Zimbabwe,Australia,84 runs,Hobart,08-Dec-94
ODI # 958,New Zealand,Sri Lanka,no result,,Bloemfontein,08-Dec-94
ODI # 959,South Africa,Pakistan,South Africa,7 wickets,Johannesburg,10-Dec-94
ODI # 960,South Africa,New Zealand,South Africa,81 runs,Centurion,11-Dec-94
ODI # 961,New Zealand,Pakistan,Pakistan,5 wickets,Port Elizabeth,13-Dec-94
ODI # 962,England,Zimbabwe,Zimbabwe,13 runs,Sydney,15-Dec-94
ODI # 963,South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein,15-Dec-94
ODI # 964,South Africa,Pakistan,Pakistan,8 wickets,Durban,17-Dec-94
ODI # 965,New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London,18-Dec-94
ODI # 966,New Zealand,Pakistan,Pakistan,5 wickets,East London,19-Dec-94
ODI # 967,South Africa,Sri Lanka,South Africa,44 runs,Port Elizabeth,21-Dec-94
ODI # 968,England,Zimbabwe,England,26 runs,Brisbane,07-Jan-95
ODI # 969,Australia,England,England,37 runs,Melbourne,10-Jan-95
ODI # 970,South Africa,Pakistan,South Africa,37 runs,Cape Town,10-Jan-95
ODI # 971,South Africa,Pakistan,South Africa,157 runs,Johannesburg,12-Jan-95
ODI # 972,New Zealand,West Indies,West Indies,25 runs,Auckland,22-Jan-95
ODI # 973,New Zealand,West Indies,West Indies,41 runs,Wellington,25-Jan-95
ODI # 974,New Zealand,West Indies,West Indies,9 wickets,Christchurch,28-Jan-95
ODI # 975,Australia,South Africa,Australia,3 wickets,Wellington,15-Feb-95
ODI # 976,New Zealand,India,New Zealand,4 wickets,Napier,16-Feb-95
ODI # 977,India,South Africa,South Africa,14 runs,Hamilton,18-Feb-95
ODI # 978,New Zealand,Australia,Australia,27 runs,Auckland,19-Feb-95
ODI # 979,Australia,India,India,5 wickets,Dunedin,22-Feb-95
ODI # 980,Zimbabwe,Pakistan,tied,,Harare,22-Feb-95
ODI # 981,New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995"
ODI # 982,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,25-Feb-95
ODI # 983,New Zealand,Australia,Australia,6 wickets,Auckland,26-Feb-95
ODI # 984,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,26-Feb-95
ODI # 985,West Indies,Australia,West Indies,6 runs,Bridgetown,08-Mar-95
ODI # 986,West Indies,Australia,Australia,26 runs,Port of Spain,11-Mar-95
ODI # 987,West Indies,Australia,West Indies,133 runs,Port of Spain,12-Mar-95
ODI # 988,West Indies,Australia,West Indies,7 wickets,Kingstown,15-Mar-95
ODI # 989,West Indies,Australia,West Indies,5 wickets,Georgetown,18-Mar-95
ODI # 990,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,26-Mar-95
ODI # 991,New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton,29-Mar-95
ODI # 992,New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland,01-Apr-95
ODI # 993,Bangladesh,India,India,9 wickets,Sharjah,05-Apr-95
ODI # 994,Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,06-Apr-95
ODI # 995,India,Pakistan,Pakistan,97 runs,Sharjah,07-Apr-95
ODI # 996,Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,08-Apr-95
ODI # 997,India,Sri Lanka,India,8 wickets,Sharjah,09-Apr-95
ODI # 998,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,11-Apr-95
ODI # 999,India,Sri Lanka,India,8 wickets,Sharjah,14-Apr-95
ODI # 1000,England,West Indies,West Indies,5 wickets,Nottingham,"May 24-25, 1995"
ODI # 1001,England,West Indies,England,25 runs,The Oval,26-May-95
ODI # 1002,England,West Indies,England,73 runs,Lord's,28-May-95
ODI # 1003,Pakistan,Sri Lanka,Pakistan,9 wickets,Gujranwala,29-Sep-95
ODI # 1004,Pakistan,Sri Lanka,Sri Lanka,49 runs,Faisalabad,01-Oct-95
ODI # 1005,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Rawalpindi,03-Oct-95
ODI # 1006,Sri Lanka,West Indies,Sri Lanka,6 runs,Sharjah,11-Oct-95
ODI # 1007,Pakistan,Sri Lanka,Pakistan,82 runs,Sharjah,12-Oct-95
ODI # 1008,Pakistan,West Indies,Pakistan,15 runs,Sharjah,13-Oct-95
ODI # 1009,Pakistan,West Indies,West Indies,4 wickets,Sharjah,15-Oct-95
ODI # 1010,Sri Lanka,West Indies,West Indies,4 runs,Sharjah,16-Oct-95
ODI # 1011,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Sharjah,17-Oct-95
ODI # 1012,Sri Lanka,West Indies,Sri Lanka,50 runs,Sharjah,20-Oct-95
ODI # 1013,Zimbabwe,South Africa,South Africa,134 runs,Harare,21-Oct-95
ODI # 1014,Zimbabwe,South Africa,South Africa,112 runs,Harare,22-Oct-95
ODI # 1015,India,New Zealand,New Zealand,8 wickets,Jamshedpur,15-Nov-95
ODI # 1016,India,New Zealand,India,6 wickets,Amritsar,18-Nov-95
ODI # 1017,India,New Zealand,India,5 wickets,Pune,24-Nov-95
ODI # 1018,India,New Zealand,New Zealand,99 runs,Nagpur,26-Nov-95
ODI # 1019,India,New Zealand,India,6 wickets,Mumbai (BS),29-Nov-95
ODI # 1020,New Zealand,Pakistan,Pakistan,20 runs,Dunedin,15-Dec-95
ODI # 1021,Sri Lanka,West Indies,Sri Lanka,4 wickets,Adelaide,15-Dec-95
ODI # 1022,New Zealand,Pakistan,New Zealand,1 wicket,Christchurch,17-Dec-95
ODI # 1023,Australia,West Indies,Australia,121 runs,Adelaide,17-Dec-95
ODI # 1024,Australia,West Indies,Australia,24 runs,Melbourne,19-Dec-95
ODI # 1025,New Zealand,Pakistan,Pakistan,54 runs,Wellington,20-Dec-95
ODI # 1026,Australia,Sri Lanka,Australia,5 wickets,Sydney,21-Dec-95
ODI # 1027,New Zealand,Pakistan,New Zealand,32 runs,Auckland,23-Dec-95
ODI # 1028,Australia,West Indies,Australia,1 wicket,Sydney,01-Jan-96
ODI # 1029,Sri Lanka,West Indies,West Indies,70 runs,Hobart,03-Jan-96
ODI # 1030,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,05-Jan-96
ODI # 1031,Australia,West Indies,West Indies,14 runs,Brisbane,07-Jan-96
ODI # 1032,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,09-Jan-96
ODI # 1033,South Africa,England,South Africa,6 runs,Cape Town,09-Jan-96
ODI # 1034,South Africa,England,England,5 wickets,Bloemfontein,11-Jan-96
ODI # 1035,Australia,Sri Lanka,Australia,83 runs,Perth,12-Jan-96
ODI # 1036,South Africa,England,South Africa,3 wickets,Johannesburg,13-Jan-96
ODI # 1037,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,14-Jan-96
ODI # 1038,South Africa,England,South Africa,7 wickets,Centurion,14-Jan-96
ODI # 1039,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,16-Jan-96
ODI # 1040,South Africa,England,South Africa,5 wickets,Durban,17-Jan-96
ODI # 1041,Australia,Sri Lanka,Australia,18 runs,Melbourne,18-Jan-96
ODI # 1042,South Africa,England,South Africa,14 runs,East London,19-Jan-96
ODI # 1043,Australia,Sri Lanka,Australia,9 runs,Sydney,20-Jan-96
ODI # 1044,South Africa,England,South Africa,64 runs,Port Elizabeth,21-Jan-96
ODI # 1045,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,28-Jan-96
ODI # 1046,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,31-Jan-96
ODI # 1047,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,03-Feb-96
ODI # 1048,England,New Zealand,New Zealand,11 runs,Ahmedabad,14-Feb-96
ODI # 1049,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,16-Feb-96
ODI # 1050,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),16-Feb-96
ODI # 1051,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,17-Feb-96
ODI # 1052,India,Kenya,India,7 wickets,Cuttack,18-Feb-96
ODI # 1053,England,U.A.E.,England,8 wickets,Peshawar,18-Feb-96
ODI # 1054,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,20-Feb-96
ODI # 1055,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),21-Feb-96
ODI # 1056,India,West Indies,India,5 wickets,Gwalior,21-Feb-96
ODI # 1057,England,Netherlands,England,49 runs,Peshawar,22-Feb-96
ODI # 1058,Australia,Kenya,Australia,97 runs,Visakhapatnam,23-Feb-96
ODI # 1059,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,24-Feb-96
ODI # 1060,England,South Africa,South Africa,78 runs,Rawalpindi,25-Feb-96
ODI # 1061,Kenya,Zimbabwe,no result,,Patna,26-Feb-96
ODI # 1062,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,26-Feb-96
ODI # 1063,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,27-Feb-96
ODI # 1064,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,27-Feb-96
ODI # 1065,India,Australia,Australia,16 runs,Mumbai,27-Feb-96
ODI # 1066,Kenya,West Indies,Kenya,73 runs,Pune,29-Feb-96
ODI # 1067,Pakistan,South Africa,South Africa,5 wickets,Karachi,29-Feb-96
ODI # 1068,Australia,Zimbabwe,Australia,8 wickets,Nagpur,01-Mar-96
ODI # 1069,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,01-Mar-96
ODI # 1070,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,02-Mar-96
ODI # 1071,Pakistan,England,Pakistan,7 wickets,Karachi,03-Mar-96
ODI # 1072,Australia,West Indies,West Indies,4 wickets,Jaipur,04-Mar-96
ODI # 1073,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,05-Mar-96
ODI # 1075,India,Zimbabwe,India,40 runs,Kanpur,06-Mar-96
ODI # 1074,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,06-Mar-96
ODI # 1076,Pakistan,New Zealand,Pakistan,46 runs,Lahore,06-Mar-96
ODI # 1077,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,09-Mar-96
ODI # 1078,India,Pakistan,India,39 runs,Bengaluru,09-Mar-96
ODI # 1079,South Africa,West Indies,West Indies,19 runs,Karachi,11-Mar-96
ODI # 1080,Australia,New Zealand,Australia,6 wickets,Chennai,11-Mar-96
ODI # 1081,India,Sri Lanka,Sri Lanka,,Kolkata,13-Mar-96
ODI # 1082,Australia,West Indies,Australia,5 runs,Mohali,14-Mar-96
ODI # 1083,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,17-Mar-96
ODI # 1084,West Indies,New Zealand,West Indies,1 wicket,Kingston,26-Mar-96
ODI # 1085,West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,29-Mar-96
ODI # 1086,West Indies,New Zealand,West Indies,7 wickets,Port of Spain,30-Mar-96
ODI # 1087,Pakistan,Sri Lanka,no result,,Singapore,01-Apr-96
ODI # 1088,Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,02-Apr-96
ODI # 1089,India,Sri Lanka,India,12 runs,Singapore,03-Apr-96
ODI # 1090,West Indies,New Zealand,New Zealand,4 runs,Georgetown,03-Apr-96
ODI # 1091,India,Pakistan,Pakistan,8 wickets,Singapore,05-Apr-96
ODI # 1092,West Indies,New Zealand,West Indies,7 wickets,Kingstown,06-Apr-96
ODI # 1093,Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,07-Apr-96
ODI # 1094,India,Pakistan,Pakistan,38 runs,Sharjah,12-Apr-96
ODI # 1095,Pakistan,South Africa,South Africa,143 runs,Sharjah,13-Apr-96
ODI # 1096,West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain,13-Apr-96
ODI # 1097,India,South Africa,South Africa,80 runs,Sharjah,14-Apr-96
ODI # 1098,India,Pakistan,India,28 runs,Sharjah,15-Apr-96
ODI # 1099,Pakistan,South Africa,South Africa,8 wickets,Sharjah,16-Apr-96
ODI # 1100,India,South Africa,South Africa,5 wickets,Sharjah,17-Apr-96
ODI # 1101,India,South Africa,South Africa,38 runs,Sharjah,19-Apr-96
ODI # 1102,England,India,no result,,The Oval,"May 23-24, 1996"
ODI # 1103,England,India,England,6 wickets,Leeds,25-May-96
ODI # 1104,England,India,England,4 wickets,Manchester,"May 26-27, 1996"
ODI # 1105,Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),26-Aug-96
ODI # 1106,Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),28-Aug-96
ODI # 1107,England,Pakistan,England,5 wickets,Manchester,29-Aug-96
ODI # 1108,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),30-Aug-96
ODI # 1109,England,Pakistan,England,107 runs,Birmingham,31-Aug-96
ODI # 1110,India,Zimbabwe,India,7 wickets,Colombo (SSC),01-Sep-96
ODI # 1111,England,Pakistan,Pakistan,2 wickets,Nottingham,01-Sep-96
ODI # 1112,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),03-Sep-96
ODI # 1113,Australia,India,Australia,3 wickets,Colombo (SSC),06-Sep-96
ODI # 1114,Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),07-Sep-96
ODI # 1115,India,Pakistan,India,8 wickets,Toronto,16-Sep-96
ODI # 1116,India,Pakistan,Pakistan,2 wickets,Toronto,17-Sep-96
ODI # 1117,India,Pakistan,India,55 runs,Toronto,18-Sep-96
ODI # 1118,India,Pakistan,Pakistan,97 runs,Toronto,21-Sep-96
ODI # 1119,India,Pakistan,Pakistan,52 runs,Toronto,23-Sep-96
ODI # 1120,Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),28-Sep-96
ODI # 1121,Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),29-Sep-96
ODI # 1122,South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),01-Oct-96
ODI # 1123,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga),02-Oct-96
ODI # 1124,Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),03-Oct-96
ODI # 1125,Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),04-Oct-96
ODI # 1126,Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),06-Oct-96
ODI # 1127,India,South Africa,South Africa,47 runs,Hyderabad (Deccan),17-Oct-96
ODI # 1128,Australia,South Africa,South Africa,7 wickets,Indore,19-Oct-96
ODI # 1129,India,Australia,India,2 wickets,Bengaluru,21-Oct-96
ODI # 1130,India,South Africa,South Africa,27 runs,Jaipur,23-Oct-96
ODI # 1131,Australia,South Africa,South Africa,2 wickets,Faridabad,25-Oct-96
ODI # 1132,India,South Africa,South Africa,5 wickets,Rajkot,29-Oct-96
ODI # 1133,Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,30-Oct-96
ODI # 1134,Australia,South Africa,South Africa,8 wickets,Guwahati,01-Nov-96
ODI # 1135,Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,01-Nov-96
ODI # 1136,Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,03-Nov-96
ODI # 1137,India,Australia,India,5 runs,Mohali,03-Nov-96
ODI # 1138,India,South Africa,India,35 runs,Mumbai,06-Nov-96
ODI # 1139,New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,07-Nov-96
ODI # 1140,Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,08-Nov-96
ODI # 1141,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,10-Nov-96
ODI # 1142,New Zealand,Sri Lanka,tied,,Sharjah,11-Nov-96
ODI # 1143,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,12-Nov-96
ODI # 1144,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,13-Nov-96
ODI # 1145,New Zealand,Pakistan,Pakistan,41 runs,Sharjah,15-Nov-96
ODI # 1146,Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,04-Dec-96
ODI # 1147,Australia,West Indies,Australia,5 wickets,Melbourne,06-Dec-96
ODI # 1148,Pakistan,New Zealand,Pakistan,46 runs,Sialkot,06-Dec-96
ODI # 1149,Australia,West Indies,Australia,8 wickets,Sydney,08-Dec-96
ODI # 1150,Pakistan,New Zealand,New Zealand,7 wickets,Karachi,08-Dec-96
ODI # 1151,India,South Africa,India,74 runs,Mumbai,14-Dec-96
ODI # 1152,Australia,Pakistan,Pakistan,12 runs,Adelaide,15-Dec-96
ODI # 1153,Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,15-Dec-96
ODI # 1154,Pakistan,West Indies,West Indies,7 wickets,Adelaide,17-Dec-96
ODI # 1155,Australia,Pakistan,Pakistan,4 wickets,Sydney,01-Jan-97
ODI # 1156,Zimbabwe,England,Zimbabwe,7 runs,Harare,01-Jan-97
ODI # 1157,Pakistan,West Indies,West Indies,6 wickets,Brisbane,03-Jan-97
ODI # 1158,Zimbabwe,England,Zimbabwe,131 runs,Harare,03-Jan-97
ODI # 1159,Australia,West Indies,West Indies,7 wickets,Brisbane,05-Jan-97
ODI # 1160,Australia,Pakistan,Pakistan,29 runs,Hobart,07-Jan-97
ODI # 1161,Pakistan,West Indies,West Indies,5 wickets,Perth,10-Jan-97
ODI # 1162,Australia,West Indies,West Indies,4 wickets,Perth,12-Jan-97
ODI # 1163,Pakistan,West Indies,Pakistan,8 wickets,Sydney,14-Jan-97
ODI # 1164,Australia,Pakistan,Australia,3 wickets,Melbourne,16-Jan-97
ODI # 1165,Pakistan,West Indies,Pakistan,4 wickets,Sydney,18-Jan-97
ODI # 1166,Pakistan,West Indies,Pakistan,62 runs,Melbourne,20-Jan-97
ODI # 1167,South Africa,India,South Africa,39 runs,Bloemfontein,23-Jan-97
ODI # 1168,South Africa,Zimbabwe,South Africa,5 wickets,Centurion,25-Jan-97
ODI # 1169,India,Zimbabwe,tied,,Paarl,27-Jan-97
ODI # 1170,South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,29-Jan-97
ODI # 1171,South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,31-Jan-97
ODI # 1172,South Africa,India,South Africa,6 wickets,Port Elizabeth,02-Feb-97
ODI # 1173,South Africa,India,South Africa,6 wickets,East London,04-Feb-97
ODI # 1174,India,Zimbabwe,Zimbabwe,3 wickets,Centurion,07-Feb-97
ODI # 1175,India,Zimbabwe,India,6 wickets,Benoni,09-Feb-97
ODI # 1176,South Africa,India,no result,,Durban,12-Feb-97
ODI # 1177,South Africa,India,South Africa,17 runs,Durban,13-Feb-97
ODI # 1178,Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,15-Feb-97
ODI # 1179,New Zealand,England,England,4 wickets,Christchurch,20-Feb-97
ODI # 1180,New Zealand,England,England,6 wickets,Auckland,23-Feb-97
ODI # 1181,New Zealand,England,tied,,Napier,26-Feb-97
ODI # 1182,New Zealand,England,New Zealand,9 runs,Auckland,02-Mar-97
ODI # 1183,New Zealand,England,New Zealand,28 runs,Wellington,04-Mar-97
ODI # 1184,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch,25-Mar-97
ODI # 1185,New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,27-Mar-97
ODI # 1186,South Africa,Australia,South Africa,6 wickets,East London,29-Mar-97
ODI # 1187,South Africa,Australia,Australia,7 wickets,Port Elizabeth,31-Mar-97
ODI # 1188,South Africa,Australia,South Africa,46 runs,Cape Town,02-Apr-97
ODI # 1189,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,03-Apr-97
ODI # 1190,Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah,04-Apr-97
ODI # 1191,South Africa,Australia,Australia,15 runs,Durban,05-Apr-97
ODI # 1192,Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah,06-Apr-97
ODI # 1193,Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah,07-Apr-97
ODI # 1194,Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah,08-Apr-97
ODI # 1195,South Africa,Australia,Australia,8 runs,Johannesburg,08-Apr-97
ODI # 1196,Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah,09-Apr-97
ODI # 1197,South Africa,Australia,Australia,5 wickets,Centurion,10-Apr-97
ODI # 1198,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,11-Apr-97
ODI # 1199,South Africa,Australia,South Africa,109 runs,Bloemfontein,13-Apr-97
ODI # 1200,West Indies,India,West Indies,8 wickets,Port of Spain,26-Apr-97
ODI # 1201,West Indies,India,India,10 wickets,Port of Spain,27-Apr-97
ODI # 1202,West Indies,India,West Indies,18 runs,Kingstown,30-Apr-97
ODI # 1203,West Indies,India,West Indies,10 wickets,Bridgetown,03-May-97
ODI # 1204,New Zealand,Pakistan,New Zealand,22 runs,Mohali,09-May-97
ODI # 1205,Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior,12-May-97
ODI # 1206,India,New Zealand,India,8 wickets,Bengaluru,14-May-97
ODI # 1207,India,Sri Lanka,Sri Lanka,5 wickets,Mumbai,17-May-97
ODI # 1208,New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad (Deccan),20-May-97
ODI # 1209,India,Pakistan,Pakistan,35 runs,Chennai,21-May-97
ODI # 1210,England,Australia,England,6 wickets,Leeds,22-May-97
ODI # 1212,Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali,24-May-97
ODI # 1211,England,Australia,England,6 wickets,The Oval,24-May-97
ODI # 1213,England,Australia,England,6 wickets,Lord's,25-May-97
ODI # 1214,Pakistan,Sri Lanka,Sri Lanka,85 runs,Kolkata,27-May-97
ODI # 1215,West Indies,Sri Lanka,West Indies,35 runs,Port of Spain,06-Jun-97
ODI # 1216,Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS),14-Jul-97
ODI # 1217,Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),16-Jul-97
ODI # 1218,Sri Lanka,India,Sri Lanka,6 wickets,Colombo (RPS),18-Jul-97
ODI # 1219,India,Pakistan,no result,,Colombo (SSC),20-Jul-97
